config_id,jobs,work,cores_used,own_bus,sum_bus,t_solo_ms,t_mix_ms,slowdown_actual,slowdown_pred,abs_error
1,"DOT:36:2,DOT:36:2",DOT_36_c2,"0,5",40.1,80.2,13460,26757,1.988,1.876,0.112
1,"DOT:36:2,DOT:36:2",DOT_36_c2,"4,1",40.1,80.2,13460,26647,1.98,1.876,0.104
2,"XPY:60:1,TGAMMA:12:1",XPY_60_c1,5,45.2,49.2,29859,32125,1.076,1.242,0.166
2,"XPY:60:1,TGAMMA:12:1",TGAMMA_12_c1,1,4.0,49.2,6773,6901,1.019,1.023,0.004
3,"TGAMMA:60:1,POW:24:1",TGAMMA_60_c1,1,4.0,19.0,33855,33875,1.001,1.0,0.001
3,"TGAMMA:60:1,POW:24:1",POW_24_c1,5,15.0,19.0,48124,47690,0.991,1.0,0.009
4,"COPY:60:1,XPY:48:1",COPY_60_c1,1,32.8,77.7,27398,56056,2.046,2.711,0.665
4,"COPY:60:1,XPY:48:1",XPY_48_c1,5,44.9,77.7,24058,41597,1.729,2.105,0.376
5,"DOT:36:1,SQRTX:48:1",DOT_36_c1,0,34.0,53.9,15880,20994,1.322,1.334,0.012
5,"DOT:36:1,SQRTX:48:1",SQRTX_48_c1,1,19.9,53.9,36255,39737,1.096,1.226,0.13
6,"DOT:36:2,POW:36:2",DOT_36_c2,"4,1",40.1,69.4,13460,20830,1.548,1.563,0.015
6,"DOT:36:2,POW:36:2",POW_36_c2,"0,5",29.3,69.4,36901,63521,1.721,1.384,0.337
7,"SUM:108:2,POW:24:1,ERF:24:1",SUM_108_c2,"4,1",40.0,76.2,20247,35529,1.755,1.98,0.225
7,"SUM:108:2,POW:24:1,ERF:24:1",POW_24_c1,5,15.0,76.2,48124,70137,1.457,1.327,0.13
7,"SUM:108:2,POW:24:1,ERF:24:1",ERF_24_c1,0,21.2,76.2,25440,52070,2.047,1.675,0.372
8,"ERF:24:2,XPY:60:1",ERF_24_c2,"4,5",40.0,85.2,13494,30511,2.261,2.042,0.219
8,"ERF:24:2,XPY:60:1",XPY_60_c1,1,45.2,85.2,29859,62495,2.093,2.179,0.086
9,"POW:12:1,XPY:60:1",POW_12_c1,4,15.0,60.2,23985,25753,1.074,1.157,0.083
9,"POW:12:1,XPY:60:1",XPY_60_c1,5,45.2,60.2,29859,39560,1.325,1.47,0.145
10,"TGAMMA:120:1,DOT:84:1,COPY:84:1",TGAMMA_120_c1,1,4.0,70.9,67717,69664,1.029,1.041,0.012
10,"TGAMMA:120:1,DOT:84:1,COPY:84:1",DOT_84_c1,5,34.0,70.9,37041,64456,1.74,1.77,0.03
10,"TGAMMA:120:1,DOT:84:1,COPY:84:1",COPY_84_c1,4,32.9,70.9,38335,86154,2.247,2.043,0.205
11,"TGAMMA:12:1,XPY:60:1,POW:12:1,XPY:48:1",TGAMMA_12_c1,1,4.0,109.1,6773,7129,1.053,1.077,0.025
11,"TGAMMA:12:1,XPY:60:1,POW:12:1,XPY:48:1",XPY_60_c1,0,45.2,109.1,29859,79696,2.669,2.622,0.047
11,"TGAMMA:12:1,XPY:60:1,POW:12:1,XPY:48:1",POW_12_c1,4,15.0,109.1,23985,45573,1.9,1.6,0.3
11,"TGAMMA:12:1,XPY:60:1,POW:12:1,XPY:48:1",XPY_48_c1,5,44.9,109.1,24058,52599,2.186,2.557,0.37
12,"TGAMMA:120:1,ERF:48:1,TGAMMA:60:2",TGAMMA_120_c1,1,4.0,33.2,67717,67936,1.003,1.0,0.003
12,"TGAMMA:120:1,ERF:48:1,TGAMMA:60:2",ERF_48_c1,4,21.2,33.2,50880,52208,1.026,1.0,0.026
12,"TGAMMA:120:1,ERF:48:1,TGAMMA:60:2",TGAMMA_60_c2,"0,5",8.0,33.2,16972,16996,1.001,1.0,0.001
13,"XPY:48:1,COPY:84:1",XPY_48_c1,1,44.9,77.8,24058,43191,1.795,1.879,0.084
13,"XPY:48:1,COPY:84:1",COPY_84_c1,0,32.9,77.8,38335,75839,1.978,2.276,0.297
14,"DOT:36:2,XPY:60:2",DOT_36_c2,"4,1",40.1,89.1,13460,28540,2.12,2.134,0.014
14,"DOT:36:2,XPY:60:2",XPY_60_c2,"0,5",49.0,89.1,27541,50753,1.843,1.649,0.194
15,"POW:36:1,ERF:48:1,SUM:108:1",POW_36_c1,1,15.0,68.2,72048,96617,1.341,1.268,0.073
15,"POW:36:1,ERF:48:1,SUM:108:1",ERF_48_c1,5,21.2,68.2,50880,89103,1.751,1.523,0.228
15,"POW:36:1,ERF:48:1,SUM:108:1",SUM_108_c1,0,32.0,68.2,25305,38715,1.53,1.747,0.217
16,"SUM:132:1,DOT:84:1,XPY:48:1",SUM_132_c1,4,32.0,110.9,30946,101927,3.294,3.018,0.276
16,"SUM:132:1,DOT:84:1,XPY:48:1",DOT_84_c1,0,34.0,110.9,37041,90677,2.448,2.815,0.367
16,"SUM:132:1,DOT:84:1,XPY:48:1",XPY_48_c1,1,44.9,110.9,24058,52609,2.187,2.569,0.382
17,"POW:36:3,POW:12:1",POW_36_c3,"5,0,4",41.3,56.3,26151,30764,1.176,1.125,0.052
17,"POW:36:3,POW:12:1",POW_12_c1,1,15.0,56.3,23985,30707,1.28,1.158,0.122
18,"COPY:84:1,DOT:36:2",COPY_84_c1,4,32.9,73.0,38335,146437,3.82,2.317,1.503
18,"COPY:84:1,DOT:36:2",DOT_36_c2,"0,1",40.1,73.0,13460,29567,2.197,1.667,0.53
19,"ERF:24:1,POW:12:1",ERF_24_c1,0,21.2,36.2,25440,26358,1.036,1.0,0.036
19,"ERF:24:1,POW:12:1",POW_12_c1,1,15.0,36.2,23985,24606,1.026,1.0,0.026
20,"TGAMMA:60:2,ERF:24:1",TGAMMA_60_c2,"4,5",8.0,29.2,16972,16947,0.999,1.0,0.001
20,"TGAMMA:60:2,ERF:24:1",ERF_24_c1,0,21.2,29.2,25440,25825,1.015,1.0,0.015
21,"SQRTX:12:1,POW:12:1",SQRTX_12_c1,0,19.8,34.8,9078,9381,1.033,1.0,0.033
21,"SQRTX:12:1,POW:12:1",POW_12_c1,4,15.0,34.8,23985,24167,1.008,1.006,0.002
22,"SUM:84:1,DOT:84:1,SUM:84:1,DOT:36:1",SUM_84_c1,0,32.0,132.0,19687,62805,3.19,3.479,0.289
22,"SUM:84:1,DOT:84:1,SUM:84:1,DOT:36:1",DOT_84_c1,1,34.0,132.0,37041,123513,3.334,3.258,0.077
22,"SUM:84:1,DOT:84:1,SUM:84:1,DOT:36:1",SUM_84_c1,4,32.0,132.0,19687,62589,3.179,3.479,0.3
22,"SUM:84:1,DOT:84:1,SUM:84:1,DOT:36:1",DOT_36_c1,5,34.0,132.0,15880,53052,3.341,3.258,0.083
23,"TGAMMA:60:1,POW:24:1,TGAMMA:60:2",TGAMMA_60_c1,0,4.0,27.0,33855,33997,1.004,1.0,0.004
23,"TGAMMA:60:1,POW:24:1,TGAMMA:60:2",POW_24_c1,1,15.0,27.0,48124,48189,1.001,1.0,0.001
23,"TGAMMA:60:1,POW:24:1,TGAMMA:60:2",TGAMMA_60_c2,"4,5",8.0,27.0,16972,16967,1.0,1.0,0.0
24,"DOT:36:1,SUM:84:1,SQRTX:48:1",DOT_36_c1,4,34.0,85.9,15880,34032,2.143,2.305,0.162
24,"DOT:36:1,SUM:84:1,SQRTX:48:1",SUM_84_c1,0,32.0,85.9,19687,56682,2.879,2.454,0.425
24,"DOT:36:1,SUM:84:1,SQRTX:48:1",SQRTX_48_c1,1,19.9,85.9,36255,41106,1.134,1.746,0.612
25,"XPY:60:2,SUM:84:1",XPY_60_c2,"0,1",49.0,81.0,27541,41143,1.494,1.515,0.021
25,"XPY:60:2,SUM:84:1",SUM_84_c1,5,32.0,81.0,19687,75150,3.817,2.28,1.537
26,"POW:12:2,POW:12:2",POW_12_c2,"4,5",29.3,58.6,12291,15379,1.251,1.17,0.081
26,"POW:12:2,POW:12:2",POW_12_c2,"0,1",29.3,58.6,12291,15381,1.251,1.17,0.081
27,"SQRTX:48:1,DOT:84:1,TGAMMA:12:1,COPY:60:1",SQRTX_48_c1,0,19.9,90.7,36255,80114,2.21,1.958,0.252
27,"SQRTX:48:1,DOT:84:1,TGAMMA:12:1,COPY:60:1",DOT_84_c1,4,34.0,90.7,37041,82189,2.219,2.329,0.11
27,"SQRTX:48:1,DOT:84:1,TGAMMA:12:1,COPY:60:1",TGAMMA_12_c1,1,4.0,90.7,6773,7143,1.055,1.059,0.004
27,"SQRTX:48:1,DOT:84:1,TGAMMA:12:1,COPY:60:1",COPY_60_c1,5,32.8,90.7,27398,70192,2.562,2.732,0.17
28,"XPY:60:1,ERF:12:3",XPY_60_c1,0,45.2,90.8,29859,78216,2.62,2.261,0.358
28,"XPY:60:1,ERF:12:3",ERF_12_c3,"4,5,1",45.6,90.8,5919,11603,1.96,2.208,0.247
29,"COPY:60:1,DOT:84:2",COPY_60_c1,1,32.8,72.9,27398,100387,3.664,2.313,1.351
29,"COPY:60:1,DOT:84:2",DOT_84_c2,"4,5",40.1,72.9,31407,70209,2.235,1.664,0.571
30,"SQRTX:48:2,TGAMMA:120:2",SQRTX_48_c2,"4,1",38.6,46.6,18647,21175,1.136,1.0,0.136
30,"SQRTX:48:2,TGAMMA:120:2",TGAMMA_120_c2,"0,5",8.0,46.6,33894,34512,1.018,1.0,0.018
31,"SUM:84:1,ERF:48:1",SUM_84_c1,5,32.0,53.2,19687,26833,1.363,1.518,0.155
31,"SUM:84:1,ERF:48:1",ERF_48_c1,1,21.2,53.2,50880,68074,1.338,1.365,0.027
32,"TGAMMA:12:1,SQRTX:48:1",TGAMMA_12_c1,0,4.0,23.9,6773,6769,0.999,1.0,0.001
32,"TGAMMA:12:1,SQRTX:48:1",SQRTX_48_c1,5,19.9,23.9,36255,36447,1.005,1.0,0.005
33,"TGAMMA:120:1,ERF:24:1",TGAMMA_120_c1,4,4.0,25.2,67717,67712,1.0,1.0,0.0
33,"TGAMMA:120:1,ERF:24:1",ERF_24_c1,0,21.2,25.2,25440,25711,1.011,1.0,0.011
34,"ERF:48:2,ERF:12:1",ERF_48_c2,"4,5",40.0,61.2,26996,36796,1.363,1.332,0.031
34,"ERF:48:2,ERF:12:1",ERF_12_c1,1,21.2,61.2,12734,18375,1.443,1.435,0.008
35,"COPY:84:1,DOT:36:1",COPY_84_c1,4,32.9,66.9,38335,84789,2.212,1.908,0.304
35,"COPY:84:1,DOT:36:1",DOT_36_c1,5,34.0,66.9,15880,24091,1.517,1.646,0.129
36,"XPY:48:2,TGAMMA:12:2",XPY_48_c2,"4,5",48.7,56.7,22157,25923,1.17,1.111,0.059
