# project  avg_makespan_ms (естественный oneTBB, 1 прогонов)
two_chain_1.txt  1016910
two_chain_10.txt  1036212
two_chain_11.txt  1192797
two_chain_12.txt  1182473
two_chain_13.txt  1106609
two_chain_14.txt  1119624
two_chain_15.txt  1150096
two_chain_16.txt  1192359
two_chain_17.txt  1053292
two_chain_18.txt  1023056
two_chain_19.txt  1030351
two_chain_2.txt  1217767
two_chain_20.txt  1185977
two_chain_21.txt  1213083
two_chain_22.txt  1182081
two_chain_23.txt  1138001
two_chain_24.txt  1092905
two_chain_25.txt  1215589
two_chain_26.txt  1178524
two_chain_27.txt  1203910
two_chain_28.txt  1219729
two_chain_29.txt  1147514
two_chain_3.txt  1200744
two_chain_30.txt  1095783
two_chain_4.txt  1152884
two_chain_5.txt  1197345
two_chain_6.txt  1127032
two_chain_7.txt  1127491
two_chain_8.txt  1161140
two_chain_9.txt  1125025
