# project  avg_makespan_ms (естественный oneTBB, 1 прогонов)
two_chain_1.txt  1294123
two_chain_10.txt  977909
two_chain_11.txt  1249953
two_chain_12.txt  1168153
two_chain_13.txt  1185163
two_chain_14.txt  1137639
two_chain_15.txt  1124932
two_chain_16.txt  1169259
two_chain_17.txt  1221348
two_chain_18.txt  1275026
two_chain_19.txt  1220887
two_chain_2.txt  1583796
two_chain_20.txt  1098619
two_chain_21.txt  1241039
two_chain_22.txt  1241298
two_chain_23.txt  1209853
two_chain_24.txt  1210953
two_chain_25.txt  1226742
two_chain_26.txt  1271589
two_chain_27.txt  1253688
two_chain_28.txt  1266489
two_chain_29.txt  1268573
two_chain_3.txt  1526249
two_chain_30.txt  1205267
two_chain_4.txt  1133982
two_chain_5.txt  1233368
two_chain_6.txt  1749492
two_chain_7.txt  593894
two_chain_8.txt  1221012
two_chain_9.txt  298923
