# project  avg_makespan_ms (естественный oneTBB, 1 прогонов)
two_chain_1.txt  1294285
two_chain_10.txt  978102
two_chain_11.txt  1249788
two_chain_12.txt  1161391
two_chain_13.txt  1184234
two_chain_14.txt  1138102
two_chain_15.txt  1128271
two_chain_16.txt  1169756
two_chain_17.txt  1217072
two_chain_18.txt  1272005
two_chain_19.txt  1222373
two_chain_2.txt  1583803
two_chain_20.txt  1102142
two_chain_21.txt  1243107
two_chain_22.txt  1240441
two_chain_23.txt  1207667
two_chain_24.txt  1212029
two_chain_25.txt  1228978
two_chain_26.txt  1274316
two_chain_27.txt  1249539
two_chain_28.txt  1262824
two_chain_29.txt  1265664
two_chain_3.txt  1520458
two_chain_30.txt  1206127
two_chain_4.txt  1132670
two_chain_5.txt  1224159
two_chain_6.txt  1749300
two_chain_7.txt  593422
two_chain_8.txt  1219241
two_chain_9.txt  299119
