JOBS 100
0 COPY 84
1 TGAMMA 120
2 SQRTX 12
3 TGAMMA 120
4 SUM 108
5 POW 24
6 POW 12
7 POW 24
8 TGAMMA 12
9 COPY 84
10 COPY 60
11 POW 36
12 SQRTX 12
13 DOT 36
14 XPY 60
15 DOT 84
16 DOT 84
17 POW 36
18 COPY 84
19 COPY 60
20 SQRTX 48
21 POW 24
22 TGAMMA 60
23 DOT 84
24 XPY 60
25 SQRTX 48
26 TGAMMA 120
27 POW 36
28 TGAMMA 120
29 TGAMMA 120
30 DOT 36
31 DOT 84
32 COPY 60
33 TGAMMA 60
34 POW 12
35 XPY 48
36 POW 12
37 TGAMMA 60
38 COPY 84
39 SUM 108
40 DOT 84
41 TGAMMA 120
42 DOT 36
43 SQRTX 12
44 POW 24
45 TGAMMA 12
46 POW 24
47 TGAMMA 60
48 DOT 36
49 SUM 84
50 XPY 48
51 DOT 84
52 XPY 60
53 TGAMMA 12
54 POW 36
55 SUM 108
56 COPY 84
57 XPY 48
58 SQRTX 12
59 TGAMMA 12
60 POW 24
61 POW 36
62 SUM 108
63 XPY 60
64 TGAMMA 12
65 POW 24
66 COPY 84
67 XPY 60
68 TGAMMA 120
69 SUM 132
70 POW 12
71 XPY 48
72 POW 24
73 SUM 84
74 TGAMMA 12
75 XPY 60
76 TGAMMA 12
77 POW 12
78 XPY 48
79 ERF 12
80 POW 12
81 XPY 60
82 POW 36
83 COPY 60
84 POW 24
85 TGAMMA 60
86 SUM 108
87 ERF 12
88 DOT 84
89 XPY 60
90 COPY 60
91 TGAMMA 120
92 TGAMMA 120
93 ERF 48
94 SUM 108
95 TGAMMA 60
96 POW 36
97 DOT 84
98 POW 24
99 ERF 24
DEPS 0
