JOBS 100
0 POW 36
1 DOT 84
2 ERF 12
3 TGAMMA 60
4 POW 36
5 POW 12
6 SUM 132
7 XPY 60
8 POW 36
9 TGAMMA 120
10 COPY 60
11 TGAMMA 12
12 POW 36
13 TGAMMA 12
14 POW 24
15 POW 24
16 TGAMMA 12
17 POW 12
18 ERF 24
19 COPY 84
20 POW 12
21 POW 12
22 POW 24
23 TGAMMA 12
24 SUM 108
25 TGAMMA 120
26 SQRTX 12
27 TGAMMA 60
28 POW 12
29 TGAMMA 60
30 POW 24
31 POW 12
32 SQRTX 48
33 TGAMMA 60
34 COPY 84
35 XPY 60
36 TGAMMA 60
37 POW 36
38 TGAMMA 120
39 POW 12
40 TGAMMA 60
41 XPY 48
42 SUM 84
43 POW 12
44 TGAMMA 120
45 POW 12
46 POW 12
47 POW 12
48 ERF 12
49 TGAMMA 120
50 DOT 84
51 POW 12
52 TGAMMA 12
53 TGAMMA 12
54 POW 36
55 POW 12
56 TGAMMA 12
57 TGAMMA 12
58 ERF 24
59 TGAMMA 60
60 POW 24
61 TGAMMA 12
62 POW 24
63 DOT 36
64 TGAMMA 12
65 SUM 108
66 ERF 12
67 DOT 84
68 POW 24
69 XPY 48
70 TGAMMA 120
71 TGAMMA 12
72 TGAMMA 120
73 ERF 48
74 ERF 12
75 TGAMMA 120
76 SUM 132
77 POW 12
78 XPY 60
79 SUM 84
80 POW 36
81 TGAMMA 60
82 DOT 36
83 DOT 36
84 TGAMMA 120
85 TGAMMA 120
86 XPY 60
87 POW 12
88 SQRTX 48
89 COPY 60
90 POW 24
91 TGAMMA 120
92 POW 24
93 TGAMMA 120
94 COPY 60
95 TGAMMA 12
96 XPY 48
97 POW 36
98 POW 24
99 DOT 84
DEPS 0
