JOBS 100
0 XPY 48
1 DOT 84
2 SUM 108
3 XPY 48
4 XPY 60
5 XPY 60
6 XPY 60
7 SUM 108
8 DOT 36
9 DOT 36
10 SUM 132
11 SUM 108
12 SUM 84
13 SUM 84
14 COPY 84
15 SUM 108
16 SUM 132
17 SUM 132
18 XPY 48
19 XPY 60
20 DOT 36
21 XPY 48
22 SUM 84
23 SUM 84
24 SUM 132
25 SUM 132
26 COPY 84
27 XPY 60
28 XPY 48
29 DOT 84
30 XPY 48
31 DOT 84
32 SUM 108
33 XPY 60
34 DOT 84
35 DOT 84
36 DOT 36
37 XPY 48
38 SUM 108
39 DOT 84
40 SUM 84
41 COPY 84
42 XPY 60
43 XPY 48
44 XPY 48
45 XPY 48
46 DOT 84
47 XPY 48
48 SUM 108
49 XPY 60
50 POW 12
51 POW 12
52 POW 12
53 POW 24
54 POW 36
55 TGAMMA 60
56 POW 24
57 TGAMMA 60
58 POW 24
59 TGAMMA 120
60 POW 24
61 TGAMMA 12
62 TGAMMA 12
63 POW 24
64 POW 12
65 TGAMMA 120
66 POW 24
67 TGAMMA 12
68 TGAMMA 60
69 TGAMMA 12
70 TGAMMA 12
71 POW 36
72 POW 24
73 TGAMMA 120
74 TGAMMA 60
75 POW 12
76 POW 36
77 POW 12
78 POW 12
79 POW 12
80 TGAMMA 120
81 POW 24
82 POW 12
83 POW 36
84 TGAMMA 60
85 POW 12
86 POW 12
87 POW 24
88 POW 12
89 POW 12
90 TGAMMA 60
91 TGAMMA 60
92 POW 36
93 TGAMMA 120
94 TGAMMA 120
95 POW 12
96 POW 24
97 TGAMMA 120
98 TGAMMA 120
99 TGAMMA 60
DEPS 0
