JOBS 100
0 COPY 84
1 SUM 132
2 COPY 60
3 SUM 132
4 SUM 108
5 COPY 84
6 ERF 24
7 ERF 12
8 ERF 24
9 TGAMMA 60
10 SUM 108
11 COPY 60
12 SUM 132
13 DOT 84
14 TGAMMA 12
15 SUM 132
16 DOT 36
17 COPY 60
18 DOT 84
19 DOT 84
20 COPY 84
21 XPY 48
22 TGAMMA 60
23 DOT 84
24 ERF 24
25 SQRTX 12
26 POW 24
27 TGAMMA 12
28 SUM 132
29 POW 12
30 ERF 12
31 XPY 60
32 ERF 24
33 TGAMMA 12
34 SUM 132
35 SUM 108
36 POW 36
37 DOT 36
38 SUM 108
39 POW 24
40 ERF 48
41 SUM 108
42 TGAMMA 120
43 DOT 84
44 XPY 48
45 TGAMMA 120
46 SQRTX 12
47 POW 12
48 COPY 84
49 DOT 36
50 COPY 84
51 COPY 60
52 SUM 132
53 SUM 132
54 POW 36
55 DOT 36
56 SUM 108
57 XPY 48
58 POW 36
59 POW 24
60 TGAMMA 12
61 SUM 84
62 ERF 12
63 POW 36
64 SUM 84
65 POW 36
66 COPY 84
67 SUM 132
68 XPY 48
69 SUM 132
70 DOT 84
71 SUM 108
72 DOT 36
73 TGAMMA 120
74 DOT 36
75 SUM 132
76 COPY 60
77 DOT 36
78 POW 12
79 COPY 84
80 SUM 108
81 XPY 48
82 SUM 132
83 POW 12
84 COPY 60
85 SUM 108
86 SUM 132
87 COPY 60
88 TGAMMA 120
89 POW 24
90 TGAMMA 12
91 SUM 108
92 XPY 48
93 SUM 108
94 COPY 84
95 DOT 84
96 XPY 48
97 COPY 84
98 XPY 48
99 POW 36
DEPS 0
