JOBS 100
0 TGAMMA 12
1 SQRTX 12
2 XPY 48
3 POW 12
4 POW 36
5 POW 36
6 TGAMMA 60
7 POW 12
8 SUM 132
9 TGAMMA 12
10 TGAMMA 60
11 TGAMMA 120
12 TGAMMA 120
13 POW 36
14 ERF 12
15 XPY 48
16 DOT 36
17 TGAMMA 120
18 POW 36
19 POW 24
20 SQRTX 48
21 POW 36
22 TGAMMA 60
23 ERF 12
24 POW 12
25 POW 12
26 TGAMMA 12
27 TGAMMA 120
28 TGAMMA 12
29 POW 36
30 POW 36
31 TGAMMA 12
32 TGAMMA 120
33 TGAMMA 12
34 POW 36
35 COPY 60
36 TGAMMA 12
37 TGAMMA 120
38 COPY 60
39 TGAMMA 60
40 ERF 48
41 TGAMMA 12
42 TGAMMA 120
43 XPY 48
44 POW 36
45 POW 24
46 TGAMMA 12
47 COPY 60
48 POW 12
49 XPY 48
50 TGAMMA 60
51 POW 24
52 POW 24
53 SUM 108
54 POW 24
55 POW 36
56 POW 12
57 POW 36
58 XPY 60
59 POW 12
60 XPY 60
61 DOT 84
62 TGAMMA 60
63 POW 36
64 POW 36
65 POW 36
66 DOT 84
67 TGAMMA 120
68 SUM 132
69 SUM 108
70 TGAMMA 12
71 SUM 132
72 TGAMMA 120
73 POW 36
74 SUM 108
75 POW 12
76 TGAMMA 120
77 COPY 60
78 POW 36
79 SUM 132
80 POW 24
81 ERF 12
82 ERF 48
83 XPY 60
84 TGAMMA 60
85 SQRTX 12
86 TGAMMA 12
87 POW 36
88 TGAMMA 120
89 TGAMMA 12
90 POW 12
91 TGAMMA 12
92 SUM 132
93 COPY 84
94 TGAMMA 12
95 ERF 24
96 SUM 108
97 ERF 24
98 POW 36
99 DOT 36
DEPS 0
