JOBS 100
0 TGAMMA 12
1 POW 24
2 POW 24
3 TGAMMA 120
4 POW 36
5 POW 12
6 POW 24
7 POW 12
8 TGAMMA 60
9 POW 24
10 POW 24
11 TGAMMA 120
12 TGAMMA 60
13 POW 24
14 POW 36
15 TGAMMA 60
16 POW 24
17 POW 36
18 POW 24
19 POW 12
20 POW 36
21 TGAMMA 12
22 TGAMMA 60
23 TGAMMA 12
24 POW 12
25 TGAMMA 60
26 POW 12
27 POW 36
28 POW 12
29 POW 36
30 COPY 84
31 COPY 84
32 XPY 48
33 SUM 132
34 DOT 84
35 XPY 60
36 XPY 60
37 SUM 84
38 COPY 60
39 XPY 48
40 XPY 48
41 SUM 132
42 DOT 36
43 SUM 108
44 SUM 84
45 COPY 84
46 COPY 60
47 SUM 108
48 SUM 132
49 DOT 84
50 DOT 84
51 DOT 36
52 XPY 48
53 XPY 48
54 SUM 132
55 DOT 84
56 SUM 108
57 COPY 60
58 DOT 84
59 XPY 60
60 SUM 108
61 DOT 36
62 SUM 132
63 DOT 84
64 DOT 84
65 SUM 108
66 SUM 108
67 DOT 84
68 SUM 84
69 SUM 84
70 SUM 132
71 DOT 36
72 COPY 60
73 XPY 60
74 SUM 132
75 DOT 84
76 SUM 84
77 DOT 84
78 XPY 60
79 DOT 84
80 COPY 60
81 XPY 60
82 XPY 48
83 SUM 84
84 SUM 84
85 XPY 60
86 DOT 84
87 SUM 132
88 DOT 84
89 XPY 60
90 SUM 84
91 DOT 36
92 XPY 60
93 DOT 84
94 SUM 108
95 COPY 60
96 DOT 84
97 DOT 84
98 SUM 132
99 SUM 84
DEPS 0
