JOBS 100
0 SUM 84
1 SUM 84
2 SUM 108
3 SUM 84
4 DOT 84
5 SUM 108
6 COPY 60
7 SUM 132
8 XPY 48
9 XPY 48
10 COPY 60
11 DOT 36
12 SUM 132
13 XPY 60
14 XPY 48
15 DOT 36
16 DOT 36
17 XPY 48
18 COPY 60
19 XPY 60
20 XPY 48
21 COPY 60
22 COPY 60
23 DOT 84
24 SUM 108
25 DOT 36
26 COPY 84
27 SUM 132
28 COPY 84
29 SUM 132
30 XPY 48
31 COPY 60
32 SUM 132
33 DOT 36
34 SUM 84
35 SUM 132
36 DOT 84
37 SUM 108
38 DOT 36
39 COPY 60
40 COPY 84
41 COPY 84
42 SUM 84
43 SUM 84
44 COPY 60
45 COPY 60
46 XPY 48
47 COPY 60
48 DOT 36
49 COPY 60
50 POW 12
51 POW 12
52 TGAMMA 12
53 TGAMMA 120
54 TGAMMA 60
55 TGAMMA 120
56 TGAMMA 60
57 POW 12
58 POW 36
59 POW 12
60 TGAMMA 12
61 TGAMMA 12
62 POW 36
63 TGAMMA 60
64 TGAMMA 60
65 POW 12
66 TGAMMA 60
67 TGAMMA 12
68 TGAMMA 12
69 POW 24
70 POW 12
71 TGAMMA 60
72 TGAMMA 60
73 TGAMMA 12
74 TGAMMA 12
75 POW 12
76 TGAMMA 60
77 POW 24
78 POW 36
79 TGAMMA 120
80 POW 12
81 TGAMMA 120
82 POW 36
83 POW 12
84 TGAMMA 12
85 TGAMMA 120
86 POW 24
87 POW 36
88 POW 24
89 TGAMMA 60
90 TGAMMA 12
91 TGAMMA 12
92 POW 36
93 POW 24
94 POW 12
95 TGAMMA 120
96 TGAMMA 12
97 POW 36
98 POW 24
99 POW 24
DEPS 0
