JOBS 100
0 SUM 132
1 COPY 84
2 COPY 60
3 COPY 84
4 COPY 84
5 TGAMMA 60
6 SUM 108
7 SUM 84
8 XPY 48
9 COPY 60
10 SUM 84
11 SUM 84
12 COPY 84
13 COPY 84
14 SUM 108
15 XPY 60
16 DOT 36
17 DOT 84
18 DOT 36
19 DOT 84
20 SUM 108
21 COPY 60
22 SUM 108
23 DOT 84
24 SUM 108
25 XPY 60
26 SUM 132
27 POW 36
28 DOT 36
29 SUM 108
30 DOT 84
31 TGAMMA 120
32 XPY 60
33 XPY 60
34 DOT 36
35 SUM 132
36 COPY 84
37 XPY 48
38 POW 12
39 COPY 84
40 COPY 84
41 DOT 84
42 SUM 108
43 SUM 132
44 DOT 36
45 COPY 84
46 COPY 60
47 XPY 60
48 XPY 48
49 SUM 132
50 TGAMMA 120
51 SUM 84
52 DOT 84
53 SUM 84
54 DOT 84
55 COPY 84
56 XPY 60
57 COPY 84
58 SUM 84
59 TGAMMA 12
60 COPY 84
61 XPY 60
62 XPY 48
63 DOT 36
64 SUM 132
65 SUM 132
66 COPY 84
67 TGAMMA 12
68 SUM 84
69 POW 36
70 DOT 36
71 XPY 60
72 DOT 36
73 SUM 132
74 COPY 60
75 POW 12
76 DOT 36
77 COPY 60
78 DOT 36
79 XPY 60
80 COPY 84
81 SUM 108
82 TGAMMA 120
83 COPY 60
84 COPY 60
85 DOT 84
86 SUM 108
87 XPY 60
88 COPY 84
89 DOT 36
90 SUM 108
91 DOT 84
92 COPY 84
93 XPY 60
94 SUM 132
95 SUM 132
96 COPY 60
97 SUM 84
98 DOT 84
99 XPY 60
DEPS 0
