JOBS 100
0 SUM 84
1 TGAMMA 12
2 POW 12
3 SUM 132
4 SUM 132
5 SQRTX 12
6 COPY 60
7 COPY 60
8 TGAMMA 12
9 ERF 12
10 COPY 84
11 XPY 60
12 ERF 24
13 SUM 84
14 DOT 84
15 TGAMMA 60
16 TGAMMA 60
17 DOT 84
18 ERF 48
19 SUM 108
20 POW 12
21 COPY 60
22 SUM 132
23 XPY 60
24 COPY 84
25 SQRTX 48
26 DOT 36
27 COPY 60
28 POW 24
29 DOT 36
30 SUM 132
31 DOT 36
32 DOT 36
33 COPY 60
34 XPY 48
35 POW 12
36 POW 24
37 SUM 108
38 TGAMMA 12
39 SQRTX 12
40 SUM 84
41 TGAMMA 12
42 XPY 48
43 SUM 108
44 POW 36
45 TGAMMA 12
46 COPY 84
47 DOT 84
48 XPY 60
49 DOT 36
50 COPY 84
51 XPY 48
52 POW 12
53 COPY 84
54 XPY 60
55 SUM 132
56 SUM 84
57 XPY 48
58 XPY 60
59 COPY 60
60 SQRTX 48
61 SUM 132
62 TGAMMA 12
63 DOT 36
64 TGAMMA 60
65 SUM 132
66 XPY 60
67 POW 12
68 SQRTX 48
69 SUM 84
70 SUM 132
71 XPY 48
72 DOT 84
73 XPY 48
74 DOT 84
75 COPY 84
76 DOT 84
77 DOT 36
78 DOT 36
79 COPY 84
80 POW 24
81 POW 24
82 TGAMMA 60
83 COPY 84
84 DOT 36
85 DOT 84
86 DOT 84
87 ERF 24
88 ERF 48
89 XPY 60
90 COPY 84
91 COPY 60
92 POW 24
93 POW 36
94 XPY 48
95 TGAMMA 120
96 POW 36
97 COPY 60
98 TGAMMA 60
99 COPY 60
DEPS 0
