JOBS 100
0 SUM 84
1 POW 24
2 COPY 60
3 SUM 108
4 TGAMMA 120
5 TGAMMA 60
6 SUM 108
7 SUM 84
8 COPY 84
9 SQRTX 48
10 DOT 36
11 DOT 84
12 SUM 132
13 DOT 84
14 DOT 36
15 POW 36
16 DOT 84
17 ERF 12
18 POW 36
19 ERF 24
20 POW 36
21 ERF 12
22 XPY 60
23 COPY 84
24 ERF 24
25 XPY 60
26 XPY 60
27 POW 12
28 SQRTX 48
29 SUM 108
30 DOT 36
31 ERF 48
32 XPY 48
33 POW 24
34 TGAMMA 120
35 SQRTX 48
36 COPY 60
37 XPY 60
38 XPY 48
39 SUM 84
40 XPY 48
41 ERF 48
42 XPY 60
43 XPY 48
44 DOT 36
45 ERF 48
46 SQRTX 48
47 SQRTX 12
48 SQRTX 48
49 POW 36
50 ERF 12
51 SQRTX 48
52 TGAMMA 12
53 ERF 24
54 POW 36
55 POW 12
56 COPY 60
57 SQRTX 12
58 POW 36
59 POW 36
60 POW 12
61 TGAMMA 120
62 COPY 60
63 TGAMMA 12
64 ERF 12
65 COPY 84
66 TGAMMA 120
67 ERF 48
68 ERF 48
69 TGAMMA 12
70 SUM 108
71 ERF 48
72 SUM 84
73 COPY 60
74 SQRTX 12
75 COPY 60
76 ERF 24
77 DOT 84
78 ERF 48
79 SUM 84
80 SQRTX 48
81 DOT 36
82 ERF 12
83 ERF 24
84 DOT 36
85 SQRTX 48
86 SUM 108
87 SQRTX 48
88 POW 24
89 TGAMMA 60
90 POW 36
91 XPY 60
92 POW 24
93 SUM 132
94 TGAMMA 60
95 ERF 12
96 SUM 108
97 POW 36
98 ERF 12
99 DOT 84
DEPS 0
CORES 0
